PYTHON_NUMBER,CEO_1,CEO_2,CEO_3,LEVEL,GENDER,AGE,ETHNICITY,ETHNICITY_2,COUNTRY,JOB_PROFILE,WORKING_PATTERN,CURRENT_SALARY,SALARY_INCREASE_PCT,NEW_SALARY_FTE,NEW_SALARY,CURRENT_SALARY_FOR_THOSE_WITH_INCREASE,HAS_SALARY_INCREASE,SALARY_ELIGIBLE,BONUS_ELIGIBLE,SALARY_MAVP_FOR_DISCRETIONARY_AWARD,DISCRETIONARY_RATIONALE,DISCRETIONARY_AMOUNT,DISCRETIONARY_BONUS_PCT,BONUS_OPPORTUNITY,DIVISION
41138,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,21 - 30,Unknown,undisclosed,India,Markets Data Management Analyst I B6,Full time,8119.62,0.0701,8688.96,8688.96,8119.62,1,Yes,Yes,8119.62,Performing,525.54,0.064725,0.15,C&I RFB
41139,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Customer Contact B6,Full time,5329.87,0.074,5724.03,5724.03,5329.87,1,Yes,Yes,5329.87,Performing,394.16,0.073953,0.15,Retail Banking
41141,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),RBSI Exco (Jane Howard),Chief Operating Office (Mark Beaumont),A,Female,31 - 40,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst (Volume) A4,Full time,27000.0,0.06,28620.0,28620.0,27000.0,1,Yes,,0.0,,0.0,0.0,0.0,RBS International
41144,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4663.31,0.0847,5058.34,5058.34,4663.31,1,Yes,Yes,4663.31,Performing,315.33,0.067619,0.15,Retail Banking
41145,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Digital Banking (Jennifer Scott),C,Male,41 - 50,Unknown,undisclosed,India,Technology WoW - Business Analyst C9,Full time,29780.7,0.0818,32215.71,32215.71,29780.7,1,Yes,Yes,29780.7,Performing,7651.82,0.256939,0.25,NatWest Digital X
41146,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Digital Banking (Jennifer Scott),B,Male,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B8,Full time,22353.04,0.0923,24415.8,24415.8,22353.04,1,Yes,Yes,22353.04,Performing,1788.24,0.08,0.15,NatWest Digital X
41147,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,41 - 50,Unknown,undisclosed,India,Customer Service & Operations Unit Leader B8,Full time,12919.57,0.0881,14058.24,14058.24,12919.57,1,Yes,Yes,12919.57,Performing,1401.44,0.108474,0.15,Customer & Operations
41149,NatWest Digital X (Scott Marcar),Data and Analytics (Karen Dewar),D&A COO (Grayson Thomas),C,Male,41 - 50,Unknown,undisclosed,India,Data Engineer C11,Full time,90161.08,0.0903,98306.97,98306.97,90161.08,1,Yes,Yes,90161.08,Performing,18032.22,0.2,0.25,NatWest Digital X
41150,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Customer and Trade Operations (Anurag Vohra),B,Male,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B8,Full time,30271.21,0.07,32390.89,32390.89,30271.21,1,Yes,Yes,30271.21,Performing,2360.56,0.07798,0.15,NatWest Digital X
41153,Corporate Affairs (Rachel Hopcroft),Colleague Communications (George Kenning),Team (George Kenning (Inherited)),D,Female,41 - 50,Unknown,undisclosed,India,"Corporate Affairs Partner, India D12",Full time,70948.14,0.05,74495.55,74495.55,70948.14,1,Yes,Yes,70948.14,Performing,22000.0,0.310086,0.5,Corporate Affairs
41154,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),RBSI Exco (Jane Howard),RBSI Retail Coverage (Richard Steel),B,Female,41 - 50,Unknown,undisclosed,United Kingdom,Mortgage Specialist B5,Full time,36759.17,0.0408,38259.17,38259.17,36759.17,1,Yes,,0.0,,0.0,0.0,0.0,RBS International
41156,Finance (Katie Murray),Finance - Group Finance (Andrew Wells),Digital Finance (Carolyn Munro),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Financial Controller B5,Full time,26350.0,0.0806,28475.0,28475.0,26350.0,1,Yes,,0.0,,0.0,0.0,0.0,Finance
41158,Retail Banking (Solange Chamberlain),NatWest Boxed (Andrew Ellis),Operations NatWest Boxed (Andrew Mason),B,Female,31 - 40,Unknown,undisclosed,United Kingdom,"Team Leader - Account Opening, Lending & Event Driven Reviews B7",Full time,46706.0,0.0497,49026.13,49026.13,46706.0,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Boxed
41034,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),Primary Capital Markets (James Tayler),D,Female,31 - 40,Unknown,undisclosed,France,FI DCM Director (Regulated) D12,Full time,173102.88,0.0739,185893.74,185893.74,173102.88,1,Yes,Yes,173102.88,Performing,184393.73,1.065226,1.0,NatWest Markets
41162,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),A,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst (Volume) A3,Full time,4033.53,0.0651,4296.3,4296.3,4033.53,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41163,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Services (Mansoor Aboobakker Kuttil Ali),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B5,Full time,5125.96,0.0654,5461.26,5461.26,5125.96,1,Yes,Yes,5125.96,Performing,306.57,0.059807,0.15,Customer & Operations
41164,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,,41 - 50,Unknown,undisclosed,Poland,Customer Service & Operations Analyst - Anti-Money Laundering B6,Full time,26710.46,0.0,0.0,26710.46,0.0,0,,Yes,26710.46,Performing,801.31,0.03,0.25,Customer & Operations
41165,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4646.67,0.0952,5089.0,5089.0,4646.67,1,Yes,Yes,4646.67,Performing,376.64,0.081056,0.15,Retail Banking
41166,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,7178.03,0.0604,7611.6,7611.6,7178.03,1,Yes,Yes,7178.03,Performing,437.95,0.061013,0.15,Retail Banking
41167,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4309.44,0.065,4589.73,4589.73,4309.44,1,Yes,Yes,4309.44,Performing,289.05,0.067074,0.15,Retail Banking
41168,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),A,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst (Volume) A3,Full time,3740.11,0.0703,4002.88,4002.88,3740.11,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41169,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5095.48,0.0941,5575.12,5575.12,5095.48,1,Yes,Yes,5095.48,Performing,0.0,0.0,0.15,Customer & Operations
41170,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4926.95,0.08,5321.11,5321.11,4926.95,1,Yes,Yes,4926.95,Performing,525.54,0.106666,0.15,Retail Banking
41171,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5237.9,0.0903,5710.89,5710.89,5237.9,1,Yes,Yes,5237.9,Performing,437.95,0.083612,0.15,Retail Banking
41172,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,41 - 50,Unknown,undisclosed,India,Customer Service & Operations Analyst - Anti-Money Laundering B6,Full time,7909.4,0.0648,8421.81,8421.81,7909.4,1,Yes,Yes,7909.4,Performing,350.36,0.044297,0.15,C&I RFB
41173,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4646.67,0.065,4948.85,4948.85,4646.67,1,Yes,Yes,4646.67,Performing,289.05,0.062206,0.15,Retail Banking
41174,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5095.48,0.0804,5505.05,5505.05,5095.48,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
41175,People (Maria Kokkinou),Commercial & Institutional and Inclusion (Anjali Tull),Learning & Development (Gavin McQuillan),B,Male,51 - 60,Unknown,undisclosed,United Kingdom,Community Learning Support B7,Full time,46584.16,0.04,48447.53,48447.53,46584.16,1,Yes,,0.0,,0.0,0.0,0.0,People
41177,NatWest Digital X (Scott Marcar),Wealth CDIO (Raymond Mulligan),Digital Platforms (Gunjan Kumar),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,WoW - Software Engineer B7,Full time,74700.0,0.0469,78200.0,78200.0,74700.0,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Digital X
41178,NatWest Digital X (Scott Marcar),Wealth CDIO (Raymond Mulligan),Digital Platforms (Gunjan Kumar),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,WoW - Software Engineer B7,Full time,74460.0,0.0336,76960.0,76960.0,74460.0,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Digital X
41181,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),A,Male,51 - 60,Unknown,undisclosed,United Kingdom,Personal Banker (Volume) A4,Full time,28780.0,0.0578,30443.88,30443.88,28780.0,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41182,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),A,Male,21 - 30,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst (Volume) A3,Full time,26694.72,0.04,27762.51,27762.51,26694.72,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
41187,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4782.43,0.0788,5159.07,5159.07,4782.43,1,Yes,Yes,4782.43,Performing,218.98,0.045788,0.15,Customer & Operations
41188,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Transaction Services (Sally Aitken),C,Male,41 - 50,Unknown,undisclosed,United Kingdom,"Software Engineer, Ventures C9",Full time,115600.0,0.026,118606.0,118606.0,115600.0,1,Yes,Yes,115600.0,Performing,16200.0,0.140138,0.25,NatWest Digital X
41189,NatWest Digital X (Scott Marcar),Data and Analytics (Karen Dewar),D&A COO (Grayson Thomas),B,Male,31 - 40,Unknown,undisclosed,India,Data Engineer B7,Full time,18104.92,0.0847,19637.75,19637.75,18104.92,1,Yes,Yes,18104.92,Performing,0.0,0.0,0.15,NatWest Digital X
41190,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),"Risk, Finance, Legal & Audit Solutions (Darren Buckley)",B,Female,31 - 40,Unknown,undisclosed,India,WoW - Quality Automation Specialist B8,Full time,29592.38,0.045,30923.76,30923.76,29592.38,1,Yes,Yes,29592.38,Performing,1795.6,0.060678,0.15,NatWest Digital X
41191,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Unit Leader B8,Full time,15328.3,0.1314,17342.88,17342.88,15328.3,1,Yes,Yes,15328.3,Performing,3065.66,0.2,0.15,Customer & Operations
41192,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4634.4,0.1151,5167.83,5167.83,4634.4,1,Yes,Yes,4634.4,Performing,0.0,0.0,0.15,Retail Banking
41193,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Shared Experiences (Richard Healy),C,Female,41 - 50,Unknown,undisclosed,India,WoW - Product Manager C9,Full time,34725.17,0.055,36634.64,36634.64,34725.17,1,Yes,Yes,34725.17,Performing,5903.28,0.17,0.25,NatWest Digital X
41194,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),A,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst (Volume) A3,Full time,3740.11,0.0902,4077.33,4077.33,3740.11,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41196,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Investigations (Rachel Blackamore),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4541.56,0.0897,4948.85,4948.85,4541.56,1,Yes,Yes,4541.56,Performing,332.84,0.073288,0.15,Customer & Operations
41198,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),A,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst (Volume) A3,Full time,3792.66,0.0854,4116.74,4116.74,3792.66,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41200,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Investigations (Rachel Blackamore),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4537.18,0.0965,4975.13,4975.13,4537.18,1,Yes,Yes,4537.18,Performing,332.84,0.073358,0.15,Customer & Operations
41201,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Investigations (Rachel Blackamore),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4686.08,0.1252,5272.94,5272.94,4686.08,1,Yes,Yes,4686.08,Performing,437.95,0.093458,0.15,Customer & Operations
41202,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Investigations (Rachel Blackamore),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4624.77,0.1231,5194.1,5194.1,4624.77,1,Yes,Yes,4624.77,Performing,437.95,0.094697,0.15,Customer & Operations
41203,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Customer Contact B5,Full time,5224.76,0.0889,5688.99,5688.99,5224.76,1,Yes,Yes,5224.76,Performing,236.49,0.045263,0.15,Retail Banking
41205,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5080.24,0.0767,5470.01,5470.01,5080.24,1,Yes,Yes,5080.24,Performing,350.36,0.068965,0.15,Retail Banking
41207,Chief Audit Office (Nicholas Curle),IA Strategy and Transformation (Stuart Sands),IA Performance & Business Management (Gillian Normand),B,Female,31 - 40,Unknown,undisclosed,India,Performance & Business Management Manager B7,Full time,14942.91,0.1407,17045.07,17045.07,14942.91,1,Yes,Yes,14942.91,Performing,2233.55,0.149472,0.15,Audit
41212,Finance (Katie Murray),Finance - Group Finance (Andrew Wells),Group Financial Planning and Analysis (Joseph Pattara),B,Male,31 - 40,Unknown,undisclosed,India,Finance Stress Test Manager B8,Full time,28790.06,0.06,30516.46,30516.46,28790.06,1,Yes,Yes,28790.06,Performing,1051.08,0.036508,0.15,Finance
41215,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Specialist Businesses (Paul Edwards),B,Female,21 - 30,Unknown,undisclosed,United Kingdom,Commercial Relationship Manager - Asset Finance Business Direct B6,Full time,33522.18,0.0445,35013.07,35013.07,33522.18,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
41216,Retail Banking (Solange Chamberlain),Payments CoE (Mark Brant),Payments (Simon Eacott),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B5,Full time,5189.73,0.2025,6240.81,6240.81,5189.73,1,Yes,Yes,5189.73,Performing,499.26,0.096202,0.15,Payments CoE
41217,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),A,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst (Volume) A3,Full time,4033.53,0.0651,4296.3,4296.3,4033.53,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41218,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,4432.07,0.0652,4721.12,4721.12,4432.07,1,Yes,Yes,4432.07,Performing,376.64,0.084981,0.15,Retail Banking
41219,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Lending (Sameer D'Mello),B,Female,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B7,Full time,15048.01,0.1059,16642.16,16642.16,15048.01,1,Yes,Yes,15048.01,Performing,1900.71,0.12631,0.15,NatWest Digital X
41220,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Retail Banking DigiTech India (Dhiraj Anand),B,Male,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B7,Full time,15328.3,0.1,16861.13,16861.13,15328.3,1,Yes,Yes,15328.3,Performing,1970.78,0.128571,0.15,NatWest Digital X
41221,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),"Risk, Finance, Legal & Audit Solutions (Darren Buckley)",B,Male,21 - 30,Unknown,undisclosed,India,WoW - Software Engineer B7,Full time,14049.48,0.1496,16151.65,16151.65,14049.48,1,Yes,Yes,14049.48,Performing,2165.91,0.154163,0.15,NatWest Digital X
41222,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5211.62,0.0857,5658.33,5658.33,5211.62,1,Yes,Yes,5211.62,Performing,223.36,0.042858,0.15,Customer & Operations
41223,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,7488.97,0.0819,8102.1,8102.1,7488.97,1,Yes,Yes,7488.97,Performing,367.88,0.049123,0.15,Customer & Operations
41224,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),FinCrime Technology Team (Nigel Hayward),B,Male,31 - 40,Unknown,undisclosed,India,WoW - Quality Automation Specialist B7,Full time,10791.12,0.0649,11491.85,11491.85,10791.12,1,Yes,Yes,10791.12,Performing,0.0,0.0,0.15,Customer & Operations
41225,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",Data and AI (Diane Black [C]),B,Female,31 - 40,Unknown,undisclosed,India,Data Analyst B8,Full time,20150.15,0.06,21358.89,21358.89,20150.15,1,Yes,Yes,20150.15,Performing,900.0,0.044665,0.15,C&I RFB
41226,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Digital Banking (Jennifer Scott),B,Female,31 - 40,Unknown,undisclosed,India,WoW - Deployment Analyst B7,Full time,18135.57,0.092,19804.17,19804.17,18135.57,1,Yes,Yes,18135.57,Performing,1450.85,0.08,0.15,NatWest Digital X
41227,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,7103.57,0.0999,7813.05,7813.05,7103.57,1,Yes,Yes,7103.57,Performing,744.52,0.104809,0.15,Customer & Operations
41228,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,7462.69,0.1021,8224.73,8224.73,7462.69,1,Yes,Yes,7462.69,Performing,766.42,0.1027,0.15,Customer & Operations
41229,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,31 - 40,Unknown,undisclosed,India,Transaction Management Analyst B7,Full time,14951.66,0.07,15998.37,15998.37,14951.66,1,Yes,Yes,14951.66,Performing,1064.22,0.071177,0.15,C&I RFB
41230,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,31 - 40,Unknown,undisclosed,India,Trade & Transaction Reporting Analyst B6,Full time,10480.18,0.0798,11316.67,11316.67,10480.18,1,Yes,Yes,10480.18,Performing,569.34,0.054325,0.15,C&I RFB
41231,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5211.62,0.1,5732.79,5732.79,5211.62,1,Yes,Yes,5211.62,Performing,306.57,0.058824,0.15,Customer & Operations
41232,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Unit Leader B8,Full time,10191.13,0.07,10904.99,10904.99,10191.13,1,Yes,Yes,10191.13,Performing,1270.06,0.124624,0.15,Customer & Operations
41233,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,5995.56,0.0796,6472.92,6472.92,5995.56,1,Yes,Yes,5995.56,Performing,613.13,0.102264,0.15,Customer & Operations
41234,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),CIO Markets (Thomas Carr),C,Male,31 - 40,Unknown,undisclosed,India,WoW - Principal Engineer C9,Full time,38452.14,0.0706,41167.44,41167.44,38452.14,1,Yes,Yes,38452.14,Performing,5693.37,0.148064,0.25,NatWest Digital X
41235,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,31 - 40,Unknown,undisclosed,India,Transaction Management Analyst B7,Full time,14202.77,0.0715,15218.81,15218.81,14202.77,1,Yes,Yes,14202.77,Performing,1182.47,0.083256,0.15,C&I RFB
41236,Finance (Katie Murray),Finance - Group Finance (Andrew Wells),Digital Finance (Carolyn Munro),B,Male,31 - 40,Unknown,undisclosed,India,Business Analyst B8,Full time,20329.71,0.0601,21551.59,21551.59,20329.71,1,Yes,Yes,20329.71,Performing,1999.69,0.098363,0.15,Finance
41237,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Credit Analyst B5,Full time,6814.53,0.0598,7221.82,7221.82,6814.53,1,Yes,Yes,6814.53,Performing,236.49,0.034704,0.15,C&I RFB
41238,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Male,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,6345.92,0.1146,7072.92,7072.92,6345.92,1,Yes,Yes,6345.92,Performing,744.52,0.117323,0.15,Retail Banking
41240,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,41 - 50,Unknown,undisclosed,India,Transaction Management Analyst B7,Full time,16081.58,0.0,16081.58,16081.58,0.0,0,Yes,Yes,16081.58,Performing,0.0,0.0,0.15,C&I RFB
41241,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,31 - 40,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst B5,Part time,25310.67,0.0497,29057.585038,26567.35,25310.67,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
41242,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Digital Channels (Li Qun Taylor),C,Female,41 - 50,Unknown,undisclosed,United Kingdom,WoW - Software Engineer C9,Full time,93753.53,0.0225,95862.98,95862.98,93753.53,1,Yes,Yes,93753.53,Performing,0.0,0.0,0.25,NatWest Digital X
41249,Retail Banking (Solange Chamberlain),Payments CoE (Mark Brant),Cash and Self Service (Richard Talbot),A,Male,21 - 30,Unknown,undisclosed,United Kingdom,Cash Handler A3,Full time,25020.0,0.045,26145.9,26145.9,25020.0,1,Yes,,0.0,,0.0,0.0,0.0,Payments CoE
41250,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Customer Contact B5,Full time,5316.73,0.0659,5667.09,5667.09,5316.73,1,Yes,Yes,5316.73,Performing,280.29,0.052718,0.15,Retail Banking
41252,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Portfolio Management (David Harris),B,Female,21 - 30,Unknown,undisclosed,India,Relationship Manager - Credit Delivery B6,Full time,11299.15,0.0651,12034.91,12034.91,11299.15,1,Yes,Yes,11299.15,Performing,0.0,0.0,0.15,C&I RFB
41253,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),A,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst (Volume) A3,Full time,4383.89,0.0849,4756.15,4756.15,4383.89,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
41254,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),B,Male,21 - 30,Unknown,undisclosed,India,Mortgage Underwriter B5,Full time,5040.82,0.2007,6052.49,6052.49,5040.82,1,Yes,Yes,5040.82,Performing,525.54,0.104257,0.15,Retail Banking
